symbol,yahoo_symbol,name,sector,asset_type
AARTIIND,AARTIIND.NS,AARTIIND,Chemicals,Equity
ADANIGREEN,ADANIGREEN.NS,ADANIGREEN,Renewable Energy & Power,Equity
AURUM,AURUM.NS,AURUM,Technology & Software,Equity
BEWLTD-SM,BEWLTD.NS,BEWLTD-SM,Industrial & Capital Goods,Equity
BLUEJET,BLUEJET.NS,BLUEJET,Healthcare & Pharmaceuticals,Equity
CAMS,CAMS.NS,CAMS,Financial Services,Equity
CHEMTECH,CHEMTECH.NS,CHEMTECH,Industrial & Capital Goods,Equity
CTLLAB,CTLLAB.NS,CTLLAB,Healthcare & Pharmaceuticals,Equity
CYBERTECH-BE,CYBERTECH.NS,CYBERTECH-BE,Technology & Software,Equity
CYIENT,CYIENT.NS,CYIENT,Technology & Software,Equity
EDELWEISS,EDELWEISS.NS,EDELWEISS,Financial Services,Equity
EIEL,EIEL.NS,EIEL,Infrastructure & Environment,Equity
ELECTCAST,ELECTCAST.NS,ELECTCAST,Metals & Materials,Equity
ELLEN,ELLEN.NS,ELLEN,Industrial & Capital Goods,Equity
FAIRCHEMOR-BE,FAIRCHEMOR.NS,FAIRCHEMOR-BE,Chemicals,Equity
FLORACORP,FLORACORP.NS,FLORACORP,Other / Review,Equity
GLAND,GLAND.NS,GLAND,Healthcare & Pharmaceuticals,Equity
HDFCAMC,HDFCAMC.NS,HDFCAMC,Financial Services,Equity
IEX,IEX.NS,IEX,Renewable Energy & Power,Equity
IMAGICAA,IMAGICAA.NS,IMAGICAA,Media & Leisure,Equity
KOTAKBANK,KOTAKBANK.NS,KOTAKBANK,Financial Services,Equity
LIQUIDCASE,LIQUIDCASE.NS,LIQUIDCASE,ETF / Cash & Commodities,ETF
MAYURUNIQ,MAYURUNIQ.NS,MAYURUNIQ,Auto & Components,Equity
MSPL,MSPL.NS,MSPL,Metals & Materials,Equity
NEWGEN,NEWGEN.NS,NEWGEN,Technology & Software,Equity
OSWALPUMPS,OSWALPUMPS.NS,OSWALPUMPS,Industrial & Capital Goods,Equity
PERSISTENT,PERSISTENT.NS,PERSISTENT,Technology & Software,Equity
PRERINFRA,PRERINFRA.NS,PRERINFRA,Infrastructure & Environment,Equity
PRITIKAUTO,PRITIKAUTO.NS,PRITIKAUTO,Auto & Components,Equity
PVRINOX,PVRINOX.NS,PVRINOX,Media & Leisure,Equity
RADHEDE,RADHEDE.NS,RADHEDE,Real Estate,Equity
RAYMONDLSL,RAYMONDLSL.NS,RAYMONDLSL,Consumer,Equity
RELAXO,RELAXO.NS,RELAXO,Consumer,Equity
RELIANCE,RELIANCE.NS,RELIANCE,Diversified,Equity
SEYAIND-BE,SEYAIND.NS,SEYAIND-BE,Chemicals,Equity
SGFIN,SGFIN.NS,SGFIN,Financial Services,Equity
SGMART,SGMART.NS,SGMART,Industrial & Capital Goods,Equity
SILVER,SILVER.NS,SILVER,ETF / Cash & Commodities,ETF
SONACOMS,SONACOMS.NS,SONACOMS,Auto & Components,Equity
STYL,STYL.NS,STYL,Consumer,Equity
SUPRIYA,SUPRIYA.NS,SUPRIYA,Healthcare & Pharmaceuticals,Equity
SWSOLAR,SWSOLAR.NS,SWSOLAR,Renewable Energy & Power,Equity
TARSONS,TARSONS.NS,TARSONS,Healthcare & Pharmaceuticals,Equity
TIIL,TIIL.NS,TIIL,Industrial & Capital Goods,Equity
TMCV,TMCV.NS,TMCV,Auto & Components,Equity
TMPV,TMPV.NS,TMPV,Auto & Components,Equity
TRANSWORLD,TRANSWORLD.NS,TRANSWORLD,Logistics & Shipping,Equity
VIYASH,VIYASH.NS,VIYASH,Healthcare & Pharmaceuticals,Equity
WCIL,WCIL.NS,WCIL,Logistics & Shipping,Equity
